timestamp,snr,sigma,nmse,ber,x_true_0,x_true_1,x_true_2,x_true_3,x_true_4,x_true_5,x_true_6,x_true_7,x_true_8,x_true_9,x_true_10,x_true_11,x_true_12,x_true_13,x_true_14,x_true_15,x_true_16,x_true_17,x_true_18,x_true_19,x_pred_0,x_pred_1,x_pred_2,x_pred_3,x_pred_4,x_pred_5,x_pred_6,x_pred_7,x_pred_8,x_pred_9,x_pred_10,x_pred_11,x_pred_12,x_pred_13,x_pred_14,x_pred_15,x_pred_16,x_pred_17,x_pred_18,x_pred_19
2025-01-08 19:10:28.890022,25,0.0562341325190349,-10.49840447187268,0.0,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1.4588779152500002,-0.999549048305,1.49657601775,-1.35036105335,-0.5380287631427499,-1.1555402761500002,1.215559506421,1.59335163775,-1.1031082236399998,-1.02161516045925,1.253647150975,-1.170992054525,-0.9060535149125,-1.11531730035,0.7323741896445,-0.8876661754675,0.7730807845700001,0.7603089984972501,1.23612351,0.5625457122785
2025-01-08 19:10:30.114539,25,0.0562341325190349,-12.499319791110857,0.0,1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,1.0983809264062503,1.2802723774,-1.222505429725,1.50448681925,1.1750546814499998,-1.163461779875,1.22597188685,-1.161426256175,0.77333264686,-0.9872635746075,1.0658113048,1.422266150325,1.0039401215625,-0.75443550346725,-0.697663136020225,-1.195166285575,-1.3206075352500002,-0.992302328475,0.7333864922647999,-0.985860904135
2025-01-08 19:10:31.431828,25,0.0562341325190349,-12.140393882166473,0.0,-1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1.293566595,-1.142132595875,1.191219435,0.7659527700875,1.057873873525,-1.23168513355,0.56104675220775,-1.2409349470500002,1.43206309975,0.8427513928972501,0.70154955408425,1.22033614773,-0.989146924125,0.7250456793097501,1.2011293041250002,1.2651119857499995,-1.31761688905,-1.2623688997499998,0.92551871333345,-1.0744546584
2025-01-08 19:10:32.861235,25,0.0562341325190349,-10.730716132778262,0.0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,-1.28587953525,-0.83405272082,-1.01772014809625,-1.66763239275,-1.167857964675,-1.0630206457000002,-1.2584322588,0.62419495265075,-0.4965794452235125,-0.8309424287271999,-0.62010997555325,-0.658755170385,1.411781645,-1.19066773065,1.0012885298424998,-0.6610433318825,0.9922853032,1.08903111186675,1.1306220484750005,1.078516325255
2025-01-08 19:10:34.245569,25,0.0562341325190349,-10.464567854903049,0.0,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1.44603843175,0.8683268301324999,1.1416733475999998,1.1255068285299998,1.37775544605,0.6776506018775001,-0.9179611393725,-0.987195900125,1.2683207982499998,-0.8950105694725,-0.60494331859975,1.3460572746,-1.44483031925,-0.9308806399975,-0.8385039600114998,-1.7461050945000005,0.8851675441375001,-1.2924663377275,0.987299778025,-1.2199001574
2025-01-08 19:10:35.512512,25,0.0562341325190349,-9.937627283269109,0.0,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-0.40119761743625,1.515102762,0.6624654828382499,-0.7956209626402501,-1.2211838346925,-0.9372053993725,1.72037539875,0.9390178889225,-1.256487294975,0.999334530345,0.8758696804375,-1.6367941795,1.0044130657825,-1.0672944778249998,-0.990717520375,1.1189371818625,-1.044078186275,-1.2654630495675,-1.296632361475,-1.0890203597425
2025-01-08 19:10:36.851362,25,0.0562341325190349,-10.417196936604778,0.0,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1.1668706939875,1.00946236953,-1.1104241531,-1.21215994555,-0.7968223934449999,-0.921896345105,-0.90570889295,1.10232056754,0.5130962013160999,-1.83186421275,-1.1219374554,-1.475081636,-0.7797454311975001,-1.2411159028049998,-1.2228620525749998,-0.93311132979,1.3360689405,-1.46447013275,0.93830389081,-1.04488320928
2025-01-08 19:10:38.123939,25,0.0562341325190349,-9.908772517218932,0.0,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1.287800913425,-1.27796273635,1.3121396819555002,-1.0070944321425002,-1.3704352807649998,-1.0291171488625,-1.62109064425,1.3642221650000002,1.204504384125,0.8676211145874999,-1.38729471725,-1.276254605875,-0.865243251915,0.43222932793375,-0.8089154304349999,-1.0965640796275,-1.3793144822,1.18072797145,-0.72874316321,0.5458444037932499
2025-01-08 19:10:39.516684,25,0.0562341325190349,-9.941529351422854,0.0,-1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1.2160968163,0.76876074265,1.29414738729875,1.1885197878325,-1.087480292955,1.55763417425,-1.0470712955655,-1.02301684345,1.1014085275485,0.71253043793725,-1.536816002,-0.7658452897525001,-0.7653063267074999,-0.64533970877,-1.57153374025,-1.12618603605,1.20745205838,1.3589757260250002,-0.5959578225457499,0.56524517670975
2025-01-08 19:10:40.903662,25,0.0562341325190349,-13.220276591717218,0.0,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-1.40769647,-1.3767247269999998,-0.7649416965925001,-1.09515261712,1.1401208288975002,-0.69547511370825,0.75457425807625,0.95085582985,-0.9918554035001,-0.6784618932417075,-0.9888103754275,-1.0159425651075,0.975576416285,1.3272322167,-1.092252800525,1.2708240947200002,1.2252182201,-0.8725431031025,-1.2103402411,1.02758702853175
