timestamp,snr,sigma,nmse,ber,x_true_0,x_true_1,x_true_2,x_true_3,x_true_4,x_true_5,x_true_6,x_true_7,x_true_8,x_true_9,x_true_10,x_true_11,x_true_12,x_true_13,x_true_14,x_true_15,x_true_16,x_true_17,x_true_18,x_true_19,x_pred_0,x_pred_1,x_pred_2,x_pred_3,x_pred_4,x_pred_5,x_pred_6,x_pred_7,x_pred_8,x_pred_9,x_pred_10,x_pred_11,x_pred_12,x_pred_13,x_pred_14,x_pred_15,x_pred_16,x_pred_17,x_pred_18,x_pred_19
2025-01-08 18:53:17.699146,-15,5.623413251903491,-2.442735096654594,0.2,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,0.0129963721019,-0.39618268636875,0.22045772658875,0.479682327639,-0.5171764570625,0.09569932323425,-0.3632362957279,-0.6242004315295,-0.7213902299224999,-0.512808433622,-0.50317905417525,0.5666500941024999,0.549971644255,-0.11031943326625,-0.17042680938635,0.46575634890975,-0.48981508691575,0.4376484121725,-0.578373655568,-0.3573644893805
2025-01-08 18:53:18.817333,-15,5.623413251903491,-3.0331226439623444,0.05,1,1,1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,0.35262038899125,0.6301069611400001,-0.094370940452975,-0.7268566208,0.18607963649725,0.0855343173557249,-0.30994882282225,-0.53611699585025,-0.2961688569319,-0.2512232011064,0.272907391862975,0.1459583700339999,0.0113968365415,0.573272468265,-0.16975979669825,-0.449202481992,0.3525103699875125,0.24214664918575,-0.702934168216,0.3825044171429999
2025-01-08 18:53:20.036308,-15,5.623413251903491,-4.845839184525944,0.0,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,-0.39746800615625,0.4602490375839499,0.833523980425,0.6480691755475,-0.50752056103,-0.2241941771912499,0.73379694802,0.395611208652,-0.4014217389205,-0.45133020275825,0.3772142973469999,-1.014506865575,0.489574596553,0.6946827969024999,-0.3160026905386749,-0.53303354034525,-0.0515918927583,-0.46310175286,0.37427668134775,0.105435211395725
2025-01-08 18:53:21.149705,-15,5.623413251903491,-3.3468796922397366,0.1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-0.4767965694534999,0.45221679189025,-0.350370418847,0.52267356656725,-0.53052206372225,0.420017674046,0.0941613655924225,0.331001598903,-0.5127303217272501,0.0528461877290249,-0.07059628459315,-0.4743449398015,-0.3018565362492499,-0.38192538132,-0.25632825523225,0.46201239779395,0.244774960235,0.42952581348575,-0.410498387372,-0.3772443176914999
2025-01-08 18:53:22.315882,-15,5.623413251903491,-2.8202644108497488,0.15,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,0.55463642283225,0.6616507785825,-0.6235398876500001,-0.7417792773075,-0.102527120489955,0.223214875038,-0.110603558813955,-0.55296062779025,-0.496583461259,0.7217439145550001,0.23954605325845,-0.7461403110399999,-0.6695933999475001,0.1871437656064999,-0.10789478360485,0.2573637160299999,-0.3756279111315,-0.116385221940925,-0.65679610162725,0.3374143194676
2025-01-08 18:53:23.499949,-15,5.623413251903491,-3.774542688545223,0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,1,-0.6488283397065,0.01916488684775,-0.4360146943285,-0.475940276640375,-0.3963129825868,-0.57084001431225,-0.2496245780395249,-0.17722431732435,-0.3637330202755,0.7005287106839501,0.5743938577692501,-0.3470193165925,-0.1035864747734999,0.292825937817525,0.6390572170550001,0.275102507124,-0.341614040710475,0.6908146334,-0.65884769187625,0.15042541525575
2025-01-08 18:53:24.660783,-15,5.623413251903491,-3.285346804523241,0.0,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-0.147092501070575,0.2300004645262499,-0.28139494995895,-0.0789880893222,0.4951347082007499,-0.3103593985344999,-0.254491321535325,0.540392745,-0.4675388299354999,-0.0011606325198735,0.518695387272,-0.26800001009935,-0.344689154689,0.49411466726175,-0.479459802531,-0.1767821285632975,0.595817192116525,-0.2201594403026499,-0.4686832467174999,0.316399482700775
2025-01-08 18:53:25.779487,-15,5.623413251903491,-3.7310492992037902,0.0,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,0.424041854317975,0.6535964708926499,0.44007996213475,-0.1698276070055,-0.1917666687041,0.6592583562550001,-0.44889901885,-0.3867792964975,-0.396128583398,-0.2993460900275,-0.37294782295975,0.61485539566975,-0.33755597177075,0.5719638776965,0.376441832463425,-0.35747408674225,-0.51086838105975,-0.0096983742986749,0.10263817934545,-0.150723446449525
2025-01-08 18:53:26.910823,-15,5.623413251903491,-3.4367484779281265,0.1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,0.659621895849,-0.7875870408821,0.31774180456955,-0.8120201440675,-0.1518765122212499,-0.84577354319,0.7106960495225001,0.4899394373388249,-0.30273195525875,-0.8417916243924999,-0.6381770725805,0.738905626223,0.20324382521015,-0.3310266496735,-0.6020788220747499,-0.67398869675525,-1.106997484815,0.137220329987675,0.208870036215325,0.7069246546275
2025-01-08 18:53:28.077405,-15,5.623413251903491,-4.787723955181554,0.05,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-0.2765229912155,0.72473607792675,0.452949760782,-0.45297833562175,0.77644843601575,-1.03371393825,0.2918677686872499,1.130806986125,-0.5165966190061501,-0.0420961102665,0.6589292200215,-0.14811984394715,-0.4282067078756249,0.89290606535,0.25247079864045,-0.588209531546625,-0.551873095081,0.05839744368825,-0.66178652707075,0.3847583085278425
2025-01-08 18:53:29.184666,-15,5.623413251903491,-2.5341249945201567,0.25,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-0.3715399874331,0.048877596931575,-0.50710500246575,-0.64376344901,-0.0519155678802499,-0.13747361440175,-0.27215736810025,0.3282911312609999,-0.7571711637475,-0.4776691610644999,-0.124525989458225,-0.7061028742872499,0.116006114441,-0.572960322939,-0.746863136745,0.510545150462325,0.0975849789734275,0.3177616125455,0.8569536574525,-0.50762543575625
2025-01-08 18:53:30.227235,-15,5.623413251903491,-2.6811615201377443,0.05,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,0.0595812669177749,-0.20360084070075,-0.3411058859549999,-0.4776744554849999,-0.130699760464525,-0.45904664987525,0.410347854559625,-0.17491594351675,0.207416918972275,-0.327326521386,-0.227180362734325,0.234414702632575,-0.015060834418925,-0.66029978624,0.2030467681383,0.373829204302775,0.64045697482,-0.2493698701114,0.0128171426697,0.54987821300425
2025-01-08 18:53:31.332968,-15,5.623413251903491,-2.204247000505062,0.15,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,1,0.00401868085675,-0.37677843648925,-0.28687652854,-0.1568757096782499,-0.208939118496925,-0.63838304766,-0.27072440090525,0.0473590450448249,0.193309060509275,0.5642415457407749,-0.1405158642355249,0.6809463879475,0.2893035549397499,-0.3634183000597499,0.3530460356867499,0.26772674530925,0.6568610084325001,0.6520081492015,-0.0796707794836,0.161604166856
