timestamp,snr,sigma,nmse,ber,x_true_0,x_true_1,x_true_2,x_true_3,x_true_4,x_true_5,x_true_6,x_true_7,x_true_8,x_true_9,x_true_10,x_true_11,x_true_12,x_true_13,x_true_14,x_true_15,x_true_16,x_true_17,x_true_18,x_true_19,x_pred_0,x_pred_1,x_pred_2,x_pred_3,x_pred_4,x_pred_5,x_pred_6,x_pred_7,x_pred_8,x_pred_9,x_pred_10,x_pred_11,x_pred_12,x_pred_13,x_pred_14,x_pred_15,x_pred_16,x_pred_17,x_pred_18,x_pred_19
2025-01-09 15:46:58.364129,20,0.1,-9.87735257304697,0.0,1,-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,0.8940679249274999,-1.2305373700750002,-1.32564388925,-0.887016225368625,-1.0705909418,0.404712556772,1.315306609825,-1.64780981825,-1.2773531715,1.065387081845,1.3181333519999998,-0.930989769992,-1.3598171745999998,-0.860713821545,0.99066197488,1.103164858375,1.454722893225,-0.6813389675864999,0.4226893929233999,1.085474568325
2025-01-09 15:46:59.584917,20,0.1,-9.602731633263591,0.0,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,0.8035166786274999,1.3494623004,-1.16629048525,-1.1739971697375,-1.563288395025,1.27578322364,-0.4644545287043,0.7483378548205,-1.28626380223,1.128900523125,-0.49842417651325,1.40568114125,0.973487399475,0.957643496,-1.0796434094299998,1.71240649025,-1.004142785325,0.69791442688975,-1.30575747735,-0.8834409836975
2025-01-09 15:47:00.842013,20,0.1,-11.225760434669782,0.0,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1.2133850699,1.14422781515,-0.8136756736505,-1.0695578678974995,-1.1099199565375002,0.9969757687175,-0.66556363642675,-1.101205834741,1.58102734225,1.141507745475,1.191499901375,1.5086921769,-1.1535641248750002,-0.970761749215,-0.8601430253350001,-0.82065482955425,-1.61833445475,0.6851475641295,1.07220462905,-0.771506577728
2025-01-09 15:47:02.048264,20,0.1,-11.215039423404786,0.0,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,0.59862031720225,-1.0523169656475002,0.84401638876075,-1.122307052045,-1.08083324728,1.4551050032,1.4267294355,1.3677644805,-0.47494454960475,-0.7077172938222501,-1.1611654607,-0.8675384497874999,-0.953475589285,-1.088165653945,-1.344349460025,0.9659067152375,0.985271087675,-0.91482127473,-1.4064265824975,-1.2661018114975
2025-01-09 15:47:03.313533,20,0.1,-9.784534248013069,0.0,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,-0.8393500930519999,1.53208648375,-0.779380423869,1.49033384675,1.07912115149,1.063400692305,1.071267455568425,0.7608600556374999,0.7557966750649999,-0.9197865825235,0.516782904757,1.379352128175,1.8985137815,1.1583571400625,1.015727208567425,0.6585233154348751,-1.1411689902750002,1.0755463885400005,-1.11192667145,-1.01610538729725
2025-01-09 15:47:04.522979,20,0.1,-10.142019166053291,0.0,1,1,-1,1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,1,1.441009095265,0.8750015943285,-1.2486309021325002,0.94346601087425,-0.8719325829,0.9103967504125,1.16838815955,-1.61276446375,1.1395462440075,-1.3346123792499998,-0.8631366830925001,1.36024521175,0.9788044349005,-1.0173728623555,-0.72225763651375,-0.8484874594715,1.1234234888025,-1.6109978619999998,0.67887622656465,0.4001694310245
2025-01-09 15:47:05.763836,20,0.1,-10.178585803017038,0.0,1,-1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,-1,1.4487308395,-1.1120111412474998,1.25189208825,0.9376505520575,-1.46949332655,0.48159269426175,1.7880345995,-1.226697299925,-1.2756904322,0.923306063255,0.5178751808935674,0.9830335593025,1.077824218175,1.13285989982,-1.145110911775,-0.8364049007175,0.81589215896875,0.87672052811425,1.11786815417375,-1.165795759525
2025-01-09 15:47:06.985091,20,0.1,-13.318931228100029,0.0,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1.160130880235,0.95585594686,-0.53458806254125,-1.119108262775,-1.177854634915,0.9957821492875,-1.16944151425,-0.9147036131425,-1.1017484237025,-0.9562725902925,1.01217178773,1.031090367325,-1.1339506999,1.01739352165,-1.35368887025,1.07930536956125,1.4326213725,-0.682940074824,-1.2378226788349995,1.3132440165
2025-01-09 15:47:08.254756,20,0.1,-13.449849294192015,0.0,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1.16174833991,1.16162450523,0.88168946983,1.24535857065,-1.5042043725,-1.048512139675,0.79246962278,1.34070093725,-1.110240365075,-0.92769299958025,-1.27994958305,-1.19677408415,0.9761237155925,-1.0695481623832752,1.08846346249,-0.965881215165,0.948974016987,-0.8747348014166,-0.5878644755922501,-1.156581958575
2025-01-09 15:47:09.458075,20,0.1,-11.297453796504993,0.0,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1.3563250105500002,1.439550734,-0.93719038676,-0.274797387699,1.02551436507,1.5589924590000002,-1.0650111006225,0.940036932845,-1.2551348109249998,0.986651279825,-0.9633174511975,0.91879844596,-1.0000394287275,-1.2117770282175002,-1.0351649727175,1.423698311525,-0.929441700275,-0.9350793634325,1.033355572565,1.05817911275
