timestamp,snr,sigma,nmse,ber,x_true_0,x_true_1,x_true_2,x_true_3,x_true_4,x_true_5,x_true_6,x_true_7,x_true_8,x_true_9,x_true_10,x_true_11,x_true_12,x_true_13,x_true_14,x_true_15,x_true_16,x_true_17,x_true_18,x_true_19,x_pred_0,x_pred_1,x_pred_2,x_pred_3,x_pred_4,x_pred_5,x_pred_6,x_pred_7,x_pred_8,x_pred_9,x_pred_10,x_pred_11,x_pred_12,x_pred_13,x_pred_14,x_pred_15,x_pred_16,x_pred_17,x_pred_18,x_pred_19
2025-01-09 15:38:47.442224,0,1.0,-9.483124599208196,0.0,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1.2360245492875,0.8537623835987499,-0.699672624615,-0.9481547366075,1.776942497,1.67808014275,0.5943604557292499,1.0343868167544998,-0.9306891704125,1.1595097211000005,-1.34813933125,-1.03625194659,-0.4814524037679999,0.89230760666025,-0.646213055827375,-0.866689921797,0.9958768835725,-1.380428945775,-1.3438307195,-1.12035988175
2025-01-09 15:38:48.542426,0,1.0,-10.501965619130615,0.0,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,-1.35465432075,1.38045474725,-1.44902216075,0.728510777746,0.73460071045,1.0601680547575,-1.4946197572,-0.598364390595175,-1.1614384912075,0.912252509425,0.9378632166275,1.0624705701,-0.4484766389131449,-1.1023357178725,1.1187577722400002,1.2316586029549998,1.119472018847,-1.3748854062,1.0082345483875,1.42071358325
2025-01-09 15:38:49.627613,0,1.0,-10.598659331575243,0.0,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,0.949689394262,-1.41161167325,-1.04499233475,-0.9972397612575,-0.56076607031225,-0.72808295559375,0.7231825758835,-1.221064749475,1.39993757375,-1.45722330775,-1.45990223621,1.219883234585,1.1766648321500002,-0.94991658616525,1.2876806365,-0.82456486553825,-0.5287913535149725,0.601249698715,-1.0762512094,-1.11464249915
2025-01-09 15:38:50.727473,0,1.0,-12.246573821418812,0.0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-0.6092858107935001,-0.7805154604575,-1.055687269825,-0.9040028322825,0.9002504882492501,-0.76393342132775,-1.154120334575,-0.9622008983475,-1.6819078159999998,-1.00904744550325,-1.0244692009824998,1.0896211984500002,1.2314584985,0.6347594533684999,-1.316138449,-1.2269507649,-1.1746869885924998,1.109358729475,1.019589816035,-0.8176147950569526
2025-01-09 15:38:51.811221,0,1.0,-14.47007840952707,0.0,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1.0772892270375,-1.1418447725325,0.9342089883625,0.92925205263,1.234659643625,-1.3298282712,0.622030433434,0.80944161954325,1.0375385672150002,-0.9815645233475,-1.11445192612,1.0047024005738,0.9400654083875,0.6175352394915001,-1.35256079275,-0.92351853567,-0.92212144128775,1.143149470075,-0.880003002424,1.015287042875
2025-01-09 15:38:52.845263,0,1.0,-14.735938180730688,0.0,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-0.89332299916,-0.8748638754175,-0.96630055662025,1.32572537575,1.031929681225,-1.1506664089,1.05820701915,-0.6059956015719999,-1.105439638025,-0.7926221381595001,1.0111723373125,0.9124996959625,-0.9080013655025,-0.88744590111,-0.6689889857625001,-1.185267260825,1.0975294810750005,1.1709887873,-0.841297360005,-0.74579516759275
2025-01-09 15:38:53.912402,0,1.0,-10.546854863824858,0.0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1.52932600275,-1.009081293705,-1.4751342169,-0.918030993875,0.9084736381675,-0.7642017088125,-0.9714462980625,-1.3354151658,-1.29173134365,-1.13103896033,-0.4551641735089999,-1.3082995400250002,0.89548785432,-0.9927905674075,-0.930992834955,-0.61522153348345,1.03588829187025,1.4554319744999995,-0.7547997230137501,0.6171892067802499
2025-01-09 15:38:55.025656,0,1.0,-11.692411912075704,0.0,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1.075556091025,0.70988211751525,0.8007300551067501,-0.8051694881650001,-1.40475866025,-1.051307342,1.36041233225,-0.98779614817,-0.939203825005,-0.9740739876975,1.108776195775,-0.86363960187525,1.1598410378925,0.7747991050585,-0.960391263259,1.67509583075,-0.9755574043,0.4389496866026249,1.0375737756839998,-1.072861058275
2025-01-09 15:38:56.111874,0,1.0,-12.25761854773726,0.0,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1.38853588285,0.5232551604815,-0.8556446591545,-0.943695874155,1.28924412175,1.157271797625,-1.1248748627,-0.9209186593475,1.034408179515,0.9385844571375,1.5275920259999998,-1.07431492175,-1.02743490353,-1.32260362975,-1.038432730245,-1.0157379490375,-1.119988443422775,-1.164346332425,1.0812094384575,-1.4619019345000002
2025-01-09 15:38:57.176690,0,1.0,-13.024471927238078,0.0,1,-1,1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1.011092745905,-0.885635721655,0.812149010185,0.93593989546975,0.7249237325775,-1.0046729735,0.89227440527,0.96351142934625,-1.420601101,-0.986293638646,-1.226293563825,0.8720415017975,-0.9275070966975,0.5946971014895001,0.7439762112774999,-1.1821396239000002,-0.98678395288925,-1.49276041175,-0.69754327773475,-0.90982450705
